city,state,shape,duration,date_time,lon,lat
Alamogordo,NM,unknown,15 minutes,2020-04-14T05:45:00,-105.97048095238095,32.84206825396825
Kennebunk,ME,light,20 minutes,2020-04-14T02:30:00,-70.5722,43.39719999999999
Montgomery,TX,light,5 seconds,2020-04-12T21:40:00,-95.70465714285712,30.413264285714284
Phoenix,AZ,other,5-7 minutes,2020-04-12T01:00:00,-112.04946,33.535380550607286
Las Vegas,NV,oval,Still happening,2020-04-11T20:28:00,-115.18659190010855,36.14124586319218
Ansonia,CT,cigar,30min,2020-04-11T20:30:00,-73.0654,41.3433
Twentynine Palms,CA,light,5 mins,2020-04-10T21:35:00,-116.0542,34.1356
Indian Rocks Beach,FL,light,1 hour,2020-04-10T00:00:00,-82.85,27.8736
Shawinigan,QC,light,3 minutes,2020-03-31T20:10:00,-72.7326305882353,46.56044941176471
Albuquerque,NM,triangle,1 hour,2020-03-30T04:00:00,-106.61247515723272,35.10348122192273
Noblesville,IN,light,1 minute,2020-03-29T21:00:00,-85.99161652542372,40.06087881355933
Denver,CO,light,5 minutes,2020-03-30T08:30:00,-104.95934593826682,39.74512637220715
Tucson,AZ,circle,2 hours,2020-03-29T21:00:00,-110.92754232690936,32.259940756602425
Mooresville,IN,light,6 minutes,2020-03-29T21:44:00,-86.3679,39.5825
Rex,GA,sphere,15 minutes,2020-03-13T23:00:00,-84.271,33.5847
Gilbert,AZ,other,3 minutes,2019-12-13T22:15:00,-111.78126499102332,33.33960089766607
Corona,NM,triangle,50 minutes,2019-09-28T17:50:00,-105.4084,34.129
Colorado Springs,CO,formation,03/2017-06/2017,2017-06-12T23:00:00,-104.78039776536312,38.86147829823808
Mumford,NY,unknown,30-60 seconds,2008-11-29T09:00:00,-77.86029999999998,42.9928
Pittsburg,KS,triangle,10 seconds,2009-05-01T20:00:00,-94.6819,37.3506
Waynesboro,VA,disk,40 seconds,1998-07-30T22:00:00,-78.9073,38.1103
Oregon,OH,fireball,5 minutes,1995-08-25T01:10:00,-83.448,41.6604
Summerville,SC,circle,10-15 minutes,1969-06-30T19:00:00,-80.18812302158273,33.0313964028777
Bennington,VT,disk,6 minutes,1970-06-01T12:00:00,-73.0998,42.8626
Port Orchard,WA,unknown,3-5 minutes,1971-08-15T01:00:00,-122.615718134715,47.51249274611399
Muskego,WI,light,1 minute,1976-11-01T18:00:00,-88.1338,42.8776
Hiawassee,GA,circle,5 minutes,1976-12-24T21:00:00,-83.6861,34.8915
Albuquerque,NM,formation,less than 1 min.,1977-07-15T22:00:00,-106.61247515723272,35.10348122192273
Salinas,CA,disk,5 minutes,1978-06-30T17:00:00,-121.62845480225988,36.68852457627119
Saugus,MA,changing,1 hour,1979-07-10T21:00:00,-71.0131,42.4675
Springfield,IL,disk,<5 minutes,1979-10-31T00:00:00,-89.66251786941581,39.79513762886598
Medina,NY,other,5 minutes,1980-06-30T15:00:00,-78.3604,43.2176
Winchester,MA,rectangle,20 minutes,1980-10-20T21:00:00,-71.1502,42.4547
Durham,NC,circle,5 seconds,1982-06-30T21:00:00,-78.8981362628662,35.98046262866192
Alexandria,VA,other,5 minutes,1982-07-13T23:00:00,-77.09513265167007,38.798958214042266
Lawrenceburg,KY,triangle,15 minutes,1982-10-01T05:30:00,-84.983,38.0052
Alexandria,VA,oval,5 minutes,1983-09-01T17:00:00,-77.09513265167007,38.798958214042266
Florissant,MO,formation,10 minutes,1987-12-15T21:15:00,-90.31338873239436,38.80798873239437
Clinton,MS,circle,5 minutes,1988-01-10T19:00:00,-90.3568476190476,32.36588095238095
Mumford,NY,oval,3-4 minutes,1988-08-14T20:00:00,-77.86029999999998,42.9928
North Reading,MA,sphere,5 minutes,1989-06-15T02:30:00,-71.087,42.5804
Calgary,AB,light,8-10 seconds,1989-07-31T21:45:00,-114.05744246242264,51.04237871352785
Hazard,KY,circle,15 minutes,1990-05-27T10:00:00,-83.08115714285714,37.29853928571429
Winnsboro,SC,triangle,5 minutes,1993-07-14T20:00:00,-81.0914,34.3439
Unionville,MI,fireball,15 minutes,1993-10-29T20:00:00,-83.4543,43.6497
Reading,PA,fireball,A couple of seconds,1994-05-11T05:16:00,-75.94901358344114,40.33998809831824
Reading,PA,fireball,A couple of seconds,1994-05-11T05:16:00,-75.94901358344114,40.33998809831824
Houston,TX,light,2 minutes,1995-10-01T22:00:00,-95.4512204483632,29.777493696651344
Houston,MS,triangle,10 minutes,1995-10-21T18:00:00,-88.9476,33.9242
Bellevue,WA,sphere,2 minutes,1996-05-01T20:00:00,-122.16441774358974,47.60455630769231
Salina,KS,formation,20 seconds,1996-07-15T11:00:00,-97.61407647058824,38.851675
Demopolis,AL,disk,2 minutes,1997-03-20T01:00:00,-87.9151,32.415
Clayton,NM,disk,20 minutes,1997-06-18T02:30:00,-103.355,36.4016
Gulf Shores,AL,triangle,15 seconds,1997-06-27T21:00:00,-87.68415,30.250995
Virginia Beach,VA,circle,5 seconds,1997-06-30T00:00:00,-76.06194814578005,36.837301342710994
Mumford,NY,circle,3-4 minutes,1998-08-05T21:00:00,-77.86029999999998,42.9928
Boulder City,NV,other,12 hours,1999-05-24T19:00:00,-114.806292,35.926688000000006
Elk Grove,CA,other,30 seconds,2000-02-02T01:00:00,-121.3718591065292,38.39446941580756
Dawsonville,GA,triangle,a few seconds,2000-07-06T00:00:00,-84.151,34.463
Staunton,VA,egg,5min,2002-08-08T04:00:00,-79.06304077669903,38.13703786407767
Ottawa,ON,disk,20-30 seconds,2003-08-21T16:30:00,-75.70850071428572,45.3813825
San Jose,CA,other,~5mins,2003-01-03T00:00:00,-121.88970568836406,37.3388420218894
Nashville,TN,triangle,10 minutes,2001-09-11T20:00:00,-86.7768134860051,36.13170004240882
Alton,NH,flash,unknown,2001-04-01T02:00:00,-71.2323,43.4639
Gulfport,MS,sphere,10 seconds,2005-07-01T00:20:00,-89.12384592592592,30.44264888888889
Cleveland,OK,triangle,5 minutes,2006-06-16T23:00:00,-96.4183,36.252
Jacksonville Beach,FL,rectangle,30 seconds,2006-06-20T10:30:00,-81.40465,30.280529411764707
St Louis,MO,triangle,8-10 minutes,2008-06-10T00:00:00,-90.30852769878884,38.62382493417588
St Louis,MO,unknown,20 minutes,2008-06-30T12:00:00,-90.30852769878884,38.62382493417588
Bernville,PA,oval,about a minute and a half,2008-07-14T22:00:00,-76.1274,40.4675
Owasso,OK,triangle,1 minute,2009-11-03T00:00:00,-95.8277,36.2643
Pecos,NM,formation,10-15 minutes,2010-05-26T22:00:00,-105.613,35.6587
Victorville,CA,light,2 seconds,2010-04-13T12:00:00,-117.3407392670157,34.520175916230365
Tempe,AZ,rectangle,5 minutes,2010-11-01T20:00:00,-111.92091958939264,33.414035671514114
San Angelo,TX,light,2 minutes,2010-05-02T21:58:00,-100.45207260273972,31.398490410958907
Belfair,WA,light,30 minutes?,2010-05-22T05:00:00,-122.9259,47.4341
Rialto,CA,light,3 minutes,2010-08-30T22:00:00,-117.3893237113402,34.12327628865979
Tyler,TX,sphere,15 seconds,2011-03-08T02:00:00,-95.2924132791328,32.2928189701897
Bristol,VA,disk,5 minutes,2011-07-30T23:30:00,-82.20040392156862,36.64230784313725
Memphis,TN,circle,25 minutes,2012-04-21T10:00:00,-89.92692482230727,35.12547266265719
Pottsville,AR,sphere,1 minute,2012-01-01T20:00:00,-93.0608,35.2232
Woonsocket,RI,sphere,15 minutes,2012-05-12T21:00:00,-71.4941,41.998
Livonia,MI,triangle,20-30 seconds,2012-05-15T22:00:00,-83.37302848664687,42.39550474777448
Gold Bar,WA,circle,10 minutes,2012-06-30T22:00:00,-121.6623,47.8636
Memphis,TN,chevron,1 minute,2012-07-15T02:30:00,-89.92692482230727,35.12547266265719
Orlando,FL,light,1 minute,2012-08-15T20:15:00,-81.35409597886704,28.51924669797476
Chelmsford,MA,formation,60 mins,2012-11-07T21:00:00,-71.3498,42.5879
Clinton Township,MI,circle,30 minutes,2013-05-26T22:15:00,-82.92209621621622,42.58140054054054
Central,SC,oval,2 minutes,2013-06-30T18:30:00,-82.7812,34.7243
Palmdale,CA,flash,3-4 seconds,2012-08-25T21:00:00,-118.11375776081424,34.53895496183206
Palm Desert,CA,oval,20 minutes,2013-09-03T21:00:00,-116.3779536231884,33.73731449275362
Glendale,AZ,circle,20 minutes,2014-03-22T20:00:00,-112.19439241773964,33.57603490701001
Corvallis,OR,changing,Ongoing,2014-03-22T20:00:00,-123.29192676056336,44.58613887323944
Oakridge,OR,light,1/2 hour,2014-03-22T21:30:00,-122.4175,43.7406
Destin,FL,circle,~10 minutes,2014-05-01T22:00:00,-86.4573,30.3979835443038
Jackson,GA,changing,1 minute,2015-01-01T00:00:00,-83.9691,33.3026
Nashua,NH,other,10 minutes,2015-01-20T14:30:00,-71.48120613496933,42.74402106339468
Prairie Grove,AR,circle,5 minutes,2015-08-25T20:00:00,-94.3116,35.9096
Oklahoma City,OK,other,1 min 41 seconds,2015-11-21T23:00:00,-97.52630349693251,35.47186177914111
Southern Pines,NC,chevron,15 minutes,2016-08-22T21:00:00,-79.38385254237288,35.17514406779661
Butte,MT,changing,about 15 minutes,2016-10-13T18:13:00,-112.45299411764704,46.00856470588235
Luther,OK,sphere,40 seconds,2016-12-16T21:45:00,-97.19620000000002,35.6885
Kennewick,WA,diamond,5 minutes,2017-01-05T16:00:00,-119.162978125,46.17882291666667
Fort Myers,FL,cross,5min,2017-02-13T23:00:00,-81.84065302911094,26.58139708890637
Shelby,NC,other,40 minutes,2017-07-15T14:00:00,-81.57820487804878,35.30243048780488
Crested Butte,CO,light,10 minutes,2017-08-06T00:00:00,-106.88284615384616,38.8961
Moses Lake,WA,fireball,3 seconds,2017-10-12T13:24:00,-119.3074,47.1901
Las Vegas,NV,light,0:00,2018-01-26T00:00:00,-115.18659190010855,36.14124586319218
Chico,CA,other,45 minutes,2017-12-31T18:00:00,-121.82759634146342,39.77638902439024
Reno,NV,light,7 minutes,2017-11-19T22:00:00,-119.8174511061947,39.50650741150443
Reno,NV,sphere,2-3 minutes,2018-06-04T14:00:00,-119.8174511061947,39.50650741150443
Santa Maria,CA,formation,2-3 minutes,2018-07-07T21:00:00,-120.35571119402984,34.86801343283582
Slave Lake,AB,light,15 minutes,2018-07-13T23:00:00,-114.7833,55.2833
Yarmouth,ME,formation,15 minutes,2019-01-07T23:00:00,-70.1783,43.81719999999999
Tucson,AZ,disk,4:30 min,2019-02-28T12:45:00,-110.92754232690936,32.259940756602425
Wichita Falls,TX,light,5 minutes,2019-05-01T22:00:00,-98.5144153846154,33.867562393162395
San Francisco,CA,sphere,2 minutes,2019-06-20T18:00:00,-122.42539404565002,37.76999211048627
Duluth,MN,formation,2 minutes,2019-07-01T23:00:00,-92.1297889546351,46.81722209072978
Chantilly,VA,cylinder,5 minutes,2019-10-10T16:43:00,-77.44807548387097,38.900383870967744
Studio City,CA,oval,1 minute,2019-09-18T16:00:00,-118.3920568181818,34.138264772727275
Central Valley,NY,light,6 minutes,2019-10-13T22:30:00,-74.1231,41.3237
Roscoe,NY,light,2 minutes,2019-10-14T20:48:00,-74.9343,41.9559
Amagansett,NY,circle,45,2019-09-06T19:00:00,-72.1437,40.9737
Fresno,CA,disk,2 minutes,2019-10-22T01:00:00,-119.78947053333331,36.78825093333334
Glenpool,OK,egg,20 minutes,2019-11-10T00:30:00,-96.0193,35.9261
Bell,FL,cylinder,5 minutes,2019-11-01T20:00:00,-82.8496,29.7577
Fort Lauderdale,FL,light,Outside,2019-12-16T16:00:00,-80.21914075569657,26.136914681280647
Port Arthur,TX,disk,3:00,2020-01-04T09:00:00,-93.89237567567568,29.93496216216216
North Vancouver,BC,sphere,5 minutes,2020-01-06T00:23:00,-123.06013339658443,49.33311669829222
Irvington,AL,sphere,20-25 minutes,2020-01-15T22:00:00,-88.23020000000001,30.4789
Sarasota,FL,other,15 minutes,2020-01-20T18:35:00,-82.49044025679758,27.31073444108761
Victoria,BC,other,less than 2 hours,2020-01-24T19:30:00,-123.38397199327164,48.45668561816653
Jupiter,FL,circle,15 minutes,2020-01-27T20:00:00,-80.13581534246576,26.940044657534244
Hartland,ME,sphere,Seconds,2020-01-30T21:00:00,-69.5287,44.8911
Santa Fe,NM,light,20 minutes,2020-02-06T18:00:00,-105.95390714285716,35.661082683982684
Independence,MO,cigar,30 seconds,2020-02-06T19:45:00,-94.38608574879228,39.07880845410628
Muskogee,OK,cigar,5 minutes,2020-02-07T13:00:00,-95.35847407407408,35.68955111111111
Oreana,IL,disk,1 minute,2020-02-10T10:00:00,-88.8669,39.9513
Fredericksburg,VA,light,~3 minutes,2020-02-14T06:34:00,-77.48740445151034,38.28988855325914
Tallahassee,FL,oval,3 seconds,2020-02-15T04:00:00,-84.25529034572733,30.47439334637965
Duluth,MN,disk,10 minutes,2020-02-16T22:00:00,-92.1297889546351,46.81722209072978
Akron,OH,light,3 minutes+,2020-02-17T05:25:00,-81.55790462427746,41.09643776493257
Terre Haute,IN,triangle,3min,2020-02-22T08:30:00,-87.3756556122449,39.429084183673474
Hollister,CA,circle,Unknown,2020-02-23T00:00:00,-121.2434,36.8952
Hillsborough,NC,circle,3 minutes,2020-02-23T13:14:00,-79.0741,36.0755
Tampa,FL,changing,10 seconds,2020-02-26T00:30:00,-82.47646101351351,28.006814358108112
Compton,CA,circle,14 minutes,2020-02-28T02:00:00,-118.2290115942029,33.882542028985505
Painted Post,NY,sphere,30 seconds,2020-02-28T15:00:00,-77.1269,42.1753
Woodburn,OR,triangle,???,2020-02-28T18:00:00,-122.8224,45.1369
Tampa,FL,cigar,3 hours,2020-03-01T11:00:00,-82.47646101351351,28.006814358108112
Killeen,TX,other,20 minutes,2020-03-02T01:15:00,-97.78439354838709,31.058507038123167
Georgetown,KY,disk,2 minutes,2020-03-02T22:30:00,-84.5524,38.2532
Lawrenceburg,KY,circle,15 minutes,2020-03-04T00:00:00,-84.983,38.0052
Cape May,NJ,light,1 hour,2020-03-04T21:00:00,-74.9025,38.9834
Jupiter,FL,light,Less than a minute,2019-12-15T05:40:00,-80.13581534246576,26.940044657534244
Oregon City,OR,circle,6 hours,2019-11-03T10:00:00,-122.6068,45.3573
Woodland Park,CO,formation,5 minutes,2020-03-05T19:55:00,-105.1184,38.9967
El Cajon,CA,other,Seconds,2020-03-06T13:00:00,-116.91756842105264,32.80505052631579
Hobart,OK,formation,30 minutes,2020-03-10T22:00:00,-99.0607,34.9864
Lyons,OR,circle,2 hours,2020-03-12T01:00:00,-122.6151,44.7746
Boston,MA,changing,3 minutes,2020-03-12T12:45:00,-71.06563371161549,42.3416629506008
New Iberia,LA,formation,2 seconds,2020-03-12T16:43:00,-91.83132459016392,29.979059016393443
Eagle River,AK,circle,4 minutes,2020-03-12T20:57:00,-149.2583,61.2149
Latrobe,PA,circle,25 seconds,2020-03-14T00:40:00,-79.3821,40.2837
Newport News,VA,cylinder,60 seconds,2020-03-14T15:00:00,-76.4911945945946,37.09237713097713
Saint Paul,MN,other,3 minutes,2020-03-14T21:40:00,-93.11475467362924,44.95305527415144
Friendswood,TX,disk,15 seconds,2020-03-17T22:02:00,-95.19053777777778,29.51453777777777
Reno,NV,formation,5 minutes,2020-03-17T19:44:00,-119.8174511061947,39.50650741150443
Saint Paul,MN,formation,3 minutes,2020-03-14T21:40:00,-93.11475467362924,44.95305527415144
Pioneer,OH,light,UFO sighting,2020-03-18T09:15:00,-84.5342,41.6449
Poulsbo,WA,other,3 seconds,2020-03-19T20:30:00,-122.6123,47.75370000000001
Cle Elum,WA,circle,2-3 minutes,2020-03-21T20:21:00,-120.9022,47.2073
Pinole,CA,oval,2-3 minutes,2020-03-22T16:00:00,-122.2761,37.9927
Dingmans Ferry,PA,disk,5 seconds,2020-03-24T18:00:00,-75.0086,41.2171
Lewistown,MT,circle,5 minutes,2020-03-25T10:00:00,-109.3429,47.0127
Hanksville,UT,light,15 minutes,2020-03-25T22:00:00,-110.7501,38.2786
La Verne,CA,other,35 minutes,2020-03-27T03:00:00,-117.7678,34.1008
Sauk Centre,MN,light,15 seconds,2020-03-27T20:30:00,-94.9847,45.7265
Chattanooga,TN,oval,1-2 minutes,2020-03-27T23:30:00,-85.27057024875621,35.05513711442786
Lynchburg,VA,chevron,10 minutes,2020-03-28T22:00:00,-79.18785337243402,37.369108797653965
Johnson City,TN,light,2-5 minutes,2020-03-29T01:15:00,-82.35638939641109,36.32375334420881
Alhambra,CA,formation,30 seconds,2020-03-29T08:45:00,-118.13867490909092,34.08404181818182
Citronelle,AL,circle,35 minutes,2020-03-29T11:00:00,-88.26560000000002,31.0906
Maxwell,IA,light,20 minutes,2020-03-29T20:00:00,-93.3996,41.8919
Evergreen,CO,light,20 minutes,2020-03-29T20:35:00,-105.43921428571429,39.65298571428571
Smilax,KY,sphere,1 minute,2020-03-29T21:50:00,-83.2493,37.1212
Smilax,KY,sphere,1 minute,2020-03-29T21:50:00,-83.2493,37.1212
Saint John,KS,diamond,2 hours,2020-03-29T22:00:00,-98.7936,38.0286
Williamsburg,VA,other,3 seconds,2020-03-29T22:00:00,-76.73795308056873,37.305810900473936
Shelbyville,IN,sphere,5 minutes,2020-03-29T22:03:00,-85.78530000000002,39.5239
Miami,FL,rectangle,5 seconds,2020-03-29T23:00:00,-80.28951850011829,25.7741427135084
South Bend,IN,flash,Few seconds,2020-03-30T01:00:00,-86.27111065375303,41.67504576271187
Bradenton,FL,chevron,3 seconds,2020-03-30T02:00:00,-82.52932940320234,27.46096710334789
Rockford,IL,formation,2 minutes,2020-03-30T16:30:00,-89.04477790507364,42.27738134206219
Kensington,MD,circle,4-5 minutes,2020-03-30T20:47:00,-77.0771880597015,39.02560149253731
Whiteford,MD,light,>15 minutes,2020-03-30T20:50:00,-76.3228,39.7015
Leesburg,VA,oval,5 minutes,2020-03-30T21:00:00,-77.56384726027397,39.12245205479452
Leesburg,FL,light,1 minute,2020-03-30T21:15:00,-81.82943058252428,28.80167766990291
Seward,AK,light,Several hours,2020-03-30T21:30:00,-149.3365,60.0552
Lakewood,CO,disk,5 minutes,2020-03-30T22:50:00,-105.0814,39.7047
Plymouth,NH,light,Half hour,2020-03-31T10:20:00,-71.7163,43.7173
Chemainus,BC,unknown,2 minutes,2020-03-30T23:00:00,-123.7187,48.9203
